,year,Region,population,mortality_rate_100k,rGDP,proportion_under15,proportion_over60,life_expectancy,infant_death_rate_per100k,maternal_death_rate_per100k,population_density,WHO_PD,PD
93,2019,III - C. Luzon,12105494,614.3821970421034,2184815143.0,28.3485250581265,8.990240299156731,72.9103224008552,1521.1651575287938,79.60917051826144,552.0,10,14.933121735804608
94,2020,III - C. Luzon,12313718,582.7322015982501,1862908072.0,27.956056814034557,9.27803446530121,73.13053482106436,1111.340011024315,110.79993095883698,562.0,10,15.38257748348772
95,2021,III - C. Luzon,12559014,580.0,1922893711.9184,27.56432134738422,9.56487641250528,73.35074724127351,1196.7980941889969,71.35328083771692,573.0,10,15.837950593650886
96,2022,III - C. Luzon,12691572,580.0,2044036015.7692592,27.17231235135514,9.85161091287423,73.57095966148268,1196.7980941889969,71.35328083771692,579.0,10,16.30024869924933
97,2023,III - C. Luzon,12819703,580.0,2186300922.4668,26.780011213548597,10.13827819591565,73.79117208169183,1196.7980941889969,71.35328083771692,585.0,10,16.769503425893006
98,2024,III - C. Luzon,12943110,580.0,2333657604.6410623,26.386418891131154,10.42571611656799,74.01138450190098,1196.7980941889969,71.35328083771692,590.0,10,17.246789834785673
99,2025,III - C. Luzon,13062965,580.0,2484411885.900875,25.993646367318817,10.712321379611419,74.23159692211014,1196.7980941889969,71.35328083771692,596.0,10,17.729889730759382
100,2026,III - C. Luzon,13184570,580.0,2645153334.9186616,25.56744972433836,11.09323075556753,74.43159692211015,1196.7980941889969,71.35328083771692,601.0,10,18.250332004216688
101,2027,III - C. Luzon,13307629,580.0,2817088301.6883745,25.141377044565637,11.47402934053343,74.63159692211015,1196.7980941889969,71.35328083771692,607.0,10,18.77816518249732
102,2028,III - C. Luzon,13432341,580.0,3000199041.298119,24.71542827392475,11.85471718283896,74.83159692211014,1196.7980941889969,71.35328083771692,613.0,10,19.313383486898125
103,2029,III - C. Luzon,13558763,580.0,3195211978.9824967,24.289603358371252,12.23529433078585,75.03159692211014,1196.7980941889969,71.35328083771692,618.0,10,19.855981143585424
104,2030,III - C. Luzon,13686837,580.0,3402900757.616359,23.86390224389213,12.61576083264776,75.23159692211014,1196.7980941889969,71.35328083771692,624.0,10,20.40595238359035
105,2010,IVA - Calabarzon,12609803,549.3503744665956,1486403920.0,32.62106252938411,6.1236483309826,70.70077535067087,1411.4547156705826,102.67870624830128,760.0,10,10.51270615145661
106,2011,IVA - Calabarzon,12965281,541.4845752366843,1582459854.0,32.048857926550724,6.313479981018159,70.9708135827915,1486.9644203080609,87.74133699244342,782.0,10,11.053988144580375
107,2012,IVA - Calabarzon,13320760,543.767764845733,1721867470.0,31.504387865791177,6.494110562312249,71.24085181491212,1464.6352018928756,78.61783793386275,803.0,10,11.584678898636323
108,2013,IVA - Calabarzon,13676238,553.8291712192098,1847878662.0,30.98568363424362,6.66619320489765,71.51089004703275,1447.8064062841938,87.53642551917163,825.0,10,12.104851820252208
109,2014,IVA - Calabarzon,14031717,558.2067951282999,2006907506.0,30.49095854200687,6.830320651807829,71.78092827915339,1472.0676141240808,95.93686034001266,846.0,10,12.614635883842022
110,2015,IVA - Calabarzon,14387196,561.4575626828189,2076801161.0,30.01858736059479,6.98703208046932,72.050966511274,1404.7069397977252,101.02212883970516,867.0,10,13.114202470052259
111,2016,IVA - Calabarzon,14741686,561.4283196643858,2206254090.0,29.714966117172757,7.275355071326301,72.27099199935441,1482.8283149786746,84.74441403017379,889.0,10,13.452009095857578
112,2017,IVA - Calabarzon,15085285,563.2707635288295,2423069480.0,29.41167501972949,7.56268774504426,72.49101748743485,1427.5304849819445,89.3716208871945,910.0,10,13.7937974265282
113,2018,IVA - Calabarzon,15418944,556.5621095711872,2706994745.0,29.10790777889848,7.84973990436699,72.71104297551526,1489.3454210079058,98.6721547179386,930.0,10,14.140331888285024
114,2019,IVA - Calabarzon,15742673,584.2019331786921,2865792547.0,28.80374254105386,8.13662965622166,72.93106846359566,1820.1181140478263,117.5608204362198,949.0,10,14.491553278614111
115,2020,IVA - Calabarzon,16057299,590.996032396233,2565124332.0,28.49835454891884,8.42412537749966,73.15109395167607,1289.7345726249537,147.88956432766136,968.0,10,14.848289360980216
116,2021,IVA - Calabarzon,16400200,560.0,2647721335.4904,28.19348348495001,8.71071254530637,73.35109395167609,1472.4720187017112,99.25198820660772,989.0,10,15.20353689134037
117,2022,IVA - Calabarzon,16599113,560.0,2814527779.626295,27.888291636583062,8.99717952143428,73.55109395167608,1472.4720187017112,99.25198820660772,1001.0,10,15.563307975144951
118,2023,IVA - Calabarzon,16791312,560.0,3010418913.088285,27.58280603106708,9.28358777636767,73.75109395167608,1472.4720187017112,99.25198820660772,1012.0,10,15.927586298481586
119,2024,IVA - Calabarzon,16976427,560.0,3213321147.830436,27.27625514048754,9.57075719993579,73.95109395167609,1472.4720187017112,99.25198820660772,1024.0,10,16.29717955523892
120,2025,IVA - Calabarzon,17156239,560.0,3420901693.980282,26.970306911676328,9.85712028944071,74.15109395167609,1472.4720187017112,99.25198820660772,1034.0,10,16.670381974158513
121,2026,IVA - Calabarzon,17337222,560.0,3642234033.5808063,26.50737576396387,10.21512671509473,74.35109395167609,1472.4720187017112,99.25198820660772,1045.0,10,17.214143715382296
122,2027,IVA - Calabarzon,17519636,560.0,3878979245.763559,26.047418762406572,10.570833093669089,74.5510939516761,1472.4720187017112,99.25198820660772,1056.0,10,17.763422917536786
123,2028,IVA - Calabarzon,17703432,560.0,4131112896.73819,25.590407337242432,10.92426151950421,74.75109395167607,1472.4720187017112,99.25198820660772,1067.0,10,18.318100873647158
124,2029,IVA - Calabarzon,17888618,560.0,4399635235.026173,25.136313283464514,11.275433804858311,74.95109395167609,1472.4720187017112,99.25198820660772,1079.0,10,18.8780612397991
125,2030,IVA - Calabarzon,18075143,560.0,4685611525.302874,24.68510875501827,11.62437148439479,75.15109395167607,1472.4720187017112,99.25198820660772,1090.0,10,19.44318998410736
126,2010,MIMAROPA,2744671,456.5210183661357,191713018.4,37.54630795237924,6.54245944682228,69.16648762553994,1255.4630164096643,103.07578131442236,92.0,10,6.552233857385594
127,2011,MIMAROPA,2787635,471.86952380781554,212158911.3,37.05815289888827,6.70763956115505,69.46648762553994,1242.572709267174,87.56384863963306,94.0,10,6.929619305116764
128,2012,MIMAROPA,2830599,474.24591049456313,231318001.5,36.582266248767,6.8686683382092495,69.76648762553992,1280.0870862395675,106.84191428456236,95.0,10,7.309077161327578
129,2013,MIMAROPA,2873563,483.96363678123646,242953220.3,36.11819124399468,7.02570033408654,70.06648762553995,1397.0739748609108,70.05975685143211,97.0,10,7.690261644255843
130,2014,MIMAROPA,2916527,489.89774481772326,276139956.3,35.66549352234985,7.1788825266803205,70.36648762553995,1301.6400249117708,116.25493045463982,98.0,10,8.072857311527281
131,2015,MIMAROPA,2959491,507.2493884928185,274605684.3,35.2237597613914,7.32835477452034,70.66648762553994,1346.7140177965764,97.76146203264037,99.0,10,8.456576422550109
132,2016,MIMAROPA,3006430,535.6851814278065,287300274.0,35.07858157349414,7.4997921122394295,70.90648762553994,1417.5257731958764,102.27458681066928,101.0,10,8.612828805823103
133,2017,MIMAROPA,3051342,507.6127159787399,321948705.4,34.93351449952185,7.670329972844731,71.14648762553993,1370.265449585563,88.13345923827511,103.0,10,8.770427304367052
134,2018,MIMAROPA,3094357,527.1854540377856,370744808.0,34.78800280639887,7.84082121099795,71.38648762553994,1401.9088016967123,99.68186638388124,104.0,10,8.929794767312151
135,2019,MIMAROPA,3135503,540.3917648938624,375589553.0,34.6420335110507,8.01102725782753,71.62648762553994,1708.8793272051632,112.4584392724428,105.0,10,9.090950362288478
136,2020,MIMAROPA,3174859,506.794159992617,341983262.0,34.49516970674918,8.181686178819279,71.86648762553995,1138.941509389836,161.369536237985,107.0,10,9.254243771016752
137,2021,MIMAROPA,3262679,500.0,352995123.0364,34.34852193707076,8.35144391199706,72.10648762553993,1351.006517323529,104.13414377459848,110.0,10,9.418820976477903
