Region,Year,Pop_Age_<25,Pop_Age_25-34,Pop_Age_35-44,Pop_Age_45-54,Pop_Age_55-64,Pop_Age_65 and above,Age_<25,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65 and above,propensity__<25,propensity__25-34,propensity__35-44,propensity__45-54,propensity__55-64,propensity__65 and above
NCR,2016,6112736.0,2370390.0,1825357.0,1348337.0,855328.0,554684.0,23.0,956.0,3470.0,2800.0,2039.0,2725.0,3.7626359129528905e-06,0.00040330916009601796,0.0019009979965562902,0.0020766321772672557,0.0023838808036215344,0.0049127070548276135
NCR,2017,6124638.0,2371762.0,1870722.0,1394490.0,898417.0,604776.0,25.0,1070.0,4039.0,3098.0,2207.0,2881.0,4.081873900139077e-06,0.0004511413877109086,0.002159059443359302,0.0022216007285817754,0.0024565430084248184,0.004763747238647037
NCR,2018,6129929.0,2370604.0,1915373.0,1440403.0,941742.0,655650.0,15.0,1093.0,2842.0,1979.0,1473.0,2113.0,2.447010397673448e-06,0.00046106393138626277,0.0014837840984497537,0.0013739210484843478,0.0015641226577979956,0.003222756043620834
NCR,2019,6128771.0,2366973.0,1959275.0,1486019.0,985240.0,707219.0,13.0,786.0,2950.0,2014.0,1549.0,2203.0,2.12114304809235e-06,0.0003320696940776257,0.0015056589810006251,0.0013552989564736386,0.0015722057569729202,0.00311501812027109
NCR,2020,6121300.0,2360906.0,2002517.0,1531416.0,1028971.0,759546.0,11.0,666.0,2966.0,2053.0,1572.0,2247.0,1.7970039043993922e-06,0.0002820950940020484,0.001481135990356137,0.00134058936304701,0.0015277398488392773,0.0029583461699488906
V - Bicol,2010,3147100.0,700700.0,601700.0,466500.0,306300.0,266000.0,0.0,0.0,57.0,205.0,242.0,109.0,0.0,0.0,9.473159381751703e-05,0.00043944265809217576,0.0007900750897812602,0.0004097744360902256
V - Bicol,2011,3159838.6,712217.4,609290.8,477898.0,316394.8,273061.8,0.0,0.0,86.0,230.0,263.0,125.0,0.0,0.0,0.0001411477081222956,0.0004812742468058037,0.0008312399571674377,0.0004577718304061572
V - Bicol,2012,3172577.2,723734.8,616881.6,489296.0,326489.6,280123.60000000003,0.0,2.0,89.0,231.0,261.0,124.0,0.0,2.7634431838844834e-06,0.00014427403897279478,0.00047210686373892286,0.0007994129062610264,0.0004426617393179296
V - Bicol,2013,3185315.8,735252.2,624472.4,500694.0,336584.4,287185.39999999997,0.0,4.0,89.0,230.0,260.0,151.0,0.0,5.44031014120053e-06,0.00014252030994484302,0.00045936240498188516,0.0007724659847574635,0.0005257927457315031
V - Bicol,2014,3198054.4,746769.6,632063.2,512092.0,346679.2,294247.2,0.0,5.0,88.0,232.0,260.0,151.0,0.0,6.695505548163718e-06,0.00013922658367074685,0.0004530435937292518,0.0007499728855956746,0.000513173957135361
